"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"6A8ULURZ","journalArticle","2022","Nabizadeh, Fardin; Masrouri, Soroush; Ramezannezhad, Elham; Ghaderi, Ali; Sharafi, Amir Mohammad; Soraneh, Soroush; Naser Moghadasi, Abdorreza","Artificial intelligence in the diagnosis of multiple sclerosis: A systematic review","Multiple Sclerosis and Related Disorders","","22110348","10.1016/j.msard.2022.103673","https://linkinghub.elsevier.com/retrieve/pii/S2211034822001882","Background: : In recent years Artificial intelligence (AI) techniques are rapidly evolving into clinical practices such as diagnosis and prognosis processes, assess treatment effectiveness, and monitoring of diseases. The pre­ vious studies showed interesting results regarding the diagnostic efficiency of AI methods in differentiating Multiple sclerosis (MS) patients from healthy controls or other demyelinating diseases. There is a great lack of a comprehensive systematic review study on the role of AI in the diagnosis of MS. We aimed to perform a sys­ tematic review to document the performance of AI in MS diagnosis. Methods: : A systematic search was performed using four databases including PubMed, Scopus, Web of Science, and IEEE on August 2021. All original studies which focused on deep learning or AI to analyze any modalities with the purpose of diagnosing MS were included in our study. Results: : Finally, 38 studies were included in our systematic review after the abstract and full-text screening. A total of 5433 individuals were included, including 2924 cases of MS and 2509 healthy controls. Sensitivity and specificity were reported in 29 studies which ranged from 76.92 to 100 for sensitivity and 74 to 100 for spec­ ificity. Furthermore, 34 studies reported accuracy ranged 81 to 100. Among included studies, Magnetic Reso­ nance Imaging (MRI) (20 studies), OCT (six studies), serum and cerebrospinal fluid markers (six studies), movement function (three studies), and other modalities such as breathing and evoked potential was used for detecting MS via AI. Conclusion: : In conclusion, diagnosis of MS based on new markers and AI is a growing field of research with MRI images, followed by images obtained from OCT, serum and CSF biomarkers, and motor associated markers. All of these results show that with advances made in AI, the way we monitor and diagnose our MS patients can change drastically.","2022-03","2022-11-30 21:59:28","2022-11-30 21:59:29","2022-11-30 21:59:28","103673","","","59","","Multiple Sclerosis and Related Disorders","Artificial intelligence in the diagnosis of multiple sclerosis","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/R4RDPJ5A/1-s2.0-S0010482521004911.pdf; /Users/mgdwyer/Zotero/storage/P5HNA8ZY/1927.full.pdf; /Users/mgdwyer/Zotero/storage/GQE4CIQ8/00006114-202111230-00004.pdf; /Users/mgdwyer/Zotero/storage/D4CD7EBJ/5154896.pdf; /Users/mgdwyer/Zotero/storage/8ZND3ITQ/0846537120954293.pdf; /Users/mgdwyer/Zotero/storage/5GF6LFBT/a-1167-8402.pdf; /Users/mgdwyer/Zotero/storage/SHSCEVTX/Deep-Learning Generated Synthetic Double Inversion Recovery Images Improve Multiple Sclerosis Lesion Detection.pdf; /Users/mgdwyer/Zotero/storage/8Y3DTMZR/fneur-12-685276.pdf; /Users/mgdwyer/Zotero/storage/47XXG9VX/Journal of Neuroimaging - 2021 - Platten - Deep Learning Corpus Callosum Segmentation as a Neurodegenerative Marker in.pdf; /Users/mgdwyer/Zotero/storage/KB2MZ7HZ/Nabizadeh et al. - 2022 - Artificial intelligence in the diagnosis of multip.pdf; /Users/mgdwyer/Zotero/storage/AHMXZ8GY/NMR in Biomedicine - 2020 - Maggi - CVSnet  A machine learning approach for automated central vein sign assessment in.pdf; /Users/mgdwyer/Zotero/storage/A9WSZ85H/s41746-020-0229-3.pdf; /Users/mgdwyer/Zotero/storage/FACK5A4X/tariq2020.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9SA8NS6","journalArticle","2021","Hartmann, Morghan; Fenton, Norman; Dobson, Ruth","Current review and next steps for artificial intelligence in multiple sclerosis risk research","Computers in Biology and Medicine","","00104825","10.1016/j.compbiomed.2021.104337","https://linkinghub.elsevier.com/retrieve/pii/S0010482521001311","In the last few decades, the prevalence of multiple sclerosis (MS), a chronic inflammatory disease of the nervous system, has increased, particularly in Northern European countries, the United States, and United Kingdom. The promise of artificial intelligence (AI) and machine learning (ML) as tools to address problems in MS research has attracted increasing interest in these methods. Bayesian networks offer a clear advantage since they can integrate data and causal knowledge allowing for visualizing interactions between dependent variables and potential confounding factors. A review of AI/ML research methods applied to MS found 216 papers using terms “Multiple Sclerosis”, “machine learning”, “artificial intelligence”, “Bayes”, and “Bayesian”, of which 90 were relevant and recently published. More than half of these involve the detection and segmentation of MS lesions for quantitative analysis; however clinical and lifestyle risk factor assessment and prediction have largely been ignored. Of those that address risk factors, most provide only association studies for some factors and often fail to include the potential impact of confounding factors and bias (especially where these have causal explanations) that could affect data interpretation, such as reporting quality and medical care access in various countries. To address these gaps in the literature, we propose a causal Bayesian network approach to assessing risk factors for MS, which can address deficiencies in current epidemiological methods of producing risk measurements and makes better use of observational data.","2021-05","2022-11-30 21:59:39","2022-11-30 21:59:39","2022-11-30 21:59:39","104337","","","132","","Computers in Biology and Medicine","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/YBLK2L7B/Hartmann et al. - 2021 - Current review and next steps for artificial intel.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P7CYN2CH","journalArticle","2021","Montolío, Alberto; Martín-Gallego, Alejandro; Cegoñino, José; Orduna, Elvira; Vilades, Elisa; Garcia-Martin, Elena; Palomar, Amaya Pérez del","Machine learning in diagnosis and disability prediction of multiple sclerosis using optical coherence tomography","Computers in Biology and Medicine","","00104825","10.1016/j.compbiomed.2021.104416","https://linkinghub.elsevier.com/retrieve/pii/S0010482521002109","Background: Multiple sclerosis (MS) is a neurodegenerative disease that affects the central nervous system, especially the brain, spinal cord, and optic nerve. Diagnosis of this disease is a very complex process and generally requires a lot of time. In addition, treatments are applied without any information on the disability course in each MS patient. For these two reasons, the objective of this study was to improve the MS diagnosis and predict the long-term course of disability in MS patients based on clinical data and retinal nerve fiber layer (RNFL) thickness, measured by optical coherence tomography (OCT). Material and methods: A total of 104 healthy controls and 108 MS patients, 82 of whom had a 10-year follow-up, were enrolled. Classification algorithms such as multiple linear regression (MLR), support vector machines (SVM), decision tree (DT), k-nearest neighbours (k-NN), Naïve Bayes (NB), ensemble classifier (EC) and long short-term memory (LSTM) recurrent neural network were tested to develop two predictive models: MS diagnosis model and MS disability course prediction model. Results: For MS diagnosis, the best result was obtained using EC (accuracy: 87.7%; sensitivity: 87.0%; specificity: 88.5%; precision: 88.7%; AUC: 0.8775). In line with this good performance, the accuracy was 85.4% using k-NN and 84.4% using SVM. And, for long-term prediction of MS disability course, LSTM recurrent neural network was the most appropriate classifier (accuracy: 81.7%; sensitivity: 81.1%; specificity: 82.2%; precision: 78.9%; AUC: 0.8165). The use of MLR, SVM and k-NN also showed a good performance (AUC ≥ 0.8). Conclusions: This study demonstrated that machine learning techniques, using clinical and OCT data, can help establish an early diagnosis and predict the course of MS. This advance could help clinicians select more specific treatments for each MS patient. Therefore, our findings underscore the potential of RNFL thickness as a reliable MS biomarker.","2021-06","2022-11-30 21:59:41","2022-11-30 21:59:41","2022-11-30 21:59:41","104416","","","133","","Computers in Biology and Medicine","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/5DKQ8XWJ/Montolío et al. - 2021 - Machine learning in diagnosis and disability predi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X6NZXPSD","journalArticle","2020","Roca, P.; Attye, A.; Colas, L.; Tucholka, A.; Rubini, P.; Cackowski, S.; Ding, J.; Budzik, J.-F.; Renard, F.; Doyle, S.; Barbier, E.L.; Bousaid, I.; Casey, R.; Vukusic, S.; Lassau, N.; Verclytte, S.; Cotton, F.; Brochet, B.; Casey, R.; Cotton, F.; De Sèze, J.; Douek, P.; Guillemin, F.; Laplaud, D.; Lebrun-Frenay, C.; Mansuy, L.; Moreau, T.; Olaiz, J.; Pelletier, J.; Rigaud-Bully, C.; Stankoff, B.; Vukusic, S.; Marignier, R.; Debouverie, M.; Edan, G.; Ciron, J.; Ruet, A.; Collongues, N.; Lubetzki, C.; Vermersch, P.; Labauge, P.; Defer, G.; Cohen, M.; Fromont, A.; Wiertlewsky, S.; Berger, E.; Clavelou, P.; Audoin, B.; Giannesini, C.; Gout, O.; Thouvenot, E.; Heinzlef, O.; Al-Khedr, A.; Bourre, B.; Casez, O.; Cabre, P.; Montcuquet, A.; Créange, A.; Camdessanché, J.-P.; Faure, J.; Maurousset, A.; Patry, I.; Hankiewicz, K.; Pottier, C.; Maubeuge, N.; Labeyrie, C.; Nifle, C.; Ameli, R.; Anxionnat, R.; Attye, A.; Bannier, E.; Barillot, C.; Ben Salem, D.; Boncoeur-Martel, M.-P.; Bonneville, F.; Boutet, C.; Brisset, J.-C.; Cervenanski, F.; Claise, B.; Commowick, O.; Constans, J.-M.; Dardel, P.; Desal, H.; Dousset, Vincent; Durand-Dubief, F.; Ferre, J.-C.; Gerardin, E.; Glattard, T.; Grand, S.; Grenier, T.; Guillevin, R.; Guttmann, C.; Krainik, A.; Kremer, S.; Lion, S.; Menjot de Champfleur, N.; Mondot, L.; Outteryck, O.; Pyatigorskaya, N.; Pruvo, J.-P.; Rabaste, S.; Ranjeva, J.-P.; Roch, J.-A.; Sadik, J.C.; Sappey-Marinier, D.; Savatovsky, J.; Tanguy, J.-Y.; Tourbah, A.; Tourdias, T.","Artificial intelligence to predict clinical disability in patients with multiple sclerosis using FLAIR MRI","Diagnostic and Interventional Imaging","","22115684","10.1016/j.diii.2020.05.009","https://linkinghub.elsevier.com/retrieve/pii/S2211568420301558","","2020-12","2022-11-30 21:59:44","2022-11-30 21:59:45","2022-11-30 21:59:44","795-802","","12","101","","Diagnostic and Interventional Imaging","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/GMQ8XBTY/Roca et al. - 2020 - Artificial intelligence to predict clinical disabi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NH4PRUKE","journalArticle","2019","Zhang, Haike; Alberts, Esther; Pongratz, Viola; Mühlau, Mark; Zimmer, Claus; Wiestler, Benedikt; Eichinger, Paul","Predicting conversion from clinically isolated syndrome to multiple sclerosis–An imaging-based machine learning approach","NeuroImage: Clinical","","22131582","10.1016/j.nicl.2018.11.003","https://linkinghub.elsevier.com/retrieve/pii/S2213158218303413","Magnetic resonance imaging (MRI) scans play a pivotal role in the evaluation of patients presenting with a clinically isolated syndrome (CIS), as these may depict brain lesions suggestive of an inflammatory cause. We hypothesized that it is possible to predict the conversion from CIS to multiple sclerosis (MS) based on the baseline MRI scan by studying image features of these lesions.","2019","2022-11-30 21:59:46","2022-11-30 21:59:46","2022-11-30 21:59:46","101593","","","21","","NeuroImage: Clinical","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/P5H9MYJL/Zhang et al. - 2019 - Predicting conversion from clinically isolated syn.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75YM8IRN","journalArticle","2021","Fuchs, Tom A.; Dwyer, Michael G.; Jakimovski, Dejan; Bergsland, Niels; Ramasamy, Deepa P.; Weinstock-Guttman, Bianca; HB Benedict, Ralph; Zivadinov, Robert","Quantifying disease pathology and predicting disease progression in multiple sclerosis with only clinical routine T2-FLAIR MRI","NeuroImage: Clinical","","22131582","10.1016/j.nicl.2021.102705","https://linkinghub.elsevier.com/retrieve/pii/S2213158221001492","Background: Although quantitative measures from research-quality MRI provide a means to study multiple sclerosis (MS) pathology in vivo, these metrics are often unavailable in legacy clinical datasets. Objective: To determine how well an automatically-generated quantitative snapshot of brain pathology, measured only on clinical routine T2-FLAIR MRI, can substitute for more conventional measures on research MRI in terms of capturing multi-factorial disease pathology and providing similar clinical relevance. Methods: MRI with both research-quality sequences and conventional clinical T2-FLAIR was acquired for 172 MS patients at baseline, and neurologic disability was assessed at baseline and five-years later. Five measures (thalamus volume, lateral ventricle volume, medulla oblongata volume, lesion volume, and network efficiency) for quantifying disparate aspects of neuropathology from low-resolution T2-FLAIR were applied to predict standard research-quality MRI measures. They were compared in regard to association with future neurologic disability and disease progression over five years. Results: The combination of the five T2-FLAIR measures explained most of the variance in standard researchquality MRI. T2-FLAIR measures were associated with neurologic disability and cognitive function five-years later (R2 = 0.279, p < 0.001; R2 = 0.382, p < 0.001), similar to standard research-quality MRI (R2 = 0.279, p < 0.001; R2 = 0.366, p < 0.001). They also similarly predicted disability progression over five years (%-correctly-classified = 69.8, p = 0.034), compared to standard research-quality MRI (%-correctly-classified = 72.4%, p = 0.022) in relapsing-remitting MS. Conclusion: A set of five T2-FLAIR-only measures can substitute for standard research-quality MRI, especially in relapsing-remitting MS. When only clinical T2-FLAIR is available, it can be used to obtain substantially more quantitative information about brain pathology and disability than is currently standard practice.","2021","2022-11-30 21:59:48","2022-11-30 21:59:48","2022-11-30 21:59:48","102705","","","31","","NeuroImage: Clinical","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/4Y77346W/Fuchs et al. - 2021 - Quantifying disease pathology and predicting disea.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9QV4DIHR","bookSection","2016","Yoo, Youngjin; Tang, Lisa W.; Brosch, Tom; Li, David K. B.; Metz, Luanne; Traboulsee, Anthony; Tam, Roger","Deep Learning of Brain Lesion Patterns for Predicting Future Disease Activity in Patients with Early Symptoms of Multiple Sclerosis","Deep Learning and Data Labeling for Medical Applications","978-3-319-46975-1 978-3-319-46976-8","","","http://link.springer.com/10.1007/978-3-319-46976-8_10","Multiple sclerosis (MS) is a neurological disease with an early course that is characterized by attacks of clinical worsening, separated by variable periods of remission. The ability to predict the risk of attacks in a given time frame can be used to identify patients who are likely to beneﬁt from more proactive treatment. In this paper, we aim to determine whether deep learning can extract, from segmented lesion masks, latent features that can predict short-term disease activity in patients with early MS symptoms more accurately than lesion volume, which is a very commonly used MS imaging biomarker. More speciﬁcally, we use convolutional neural networks to extract latent MS lesion patterns that are associated with early disease activity using lesion masks computed from baseline MR images. The main challenges are that lesion masks are generally sparse and the number of training samples is small relative to the dimensionality of the images. To cope with sparse voxel data, we propose utilizing the Euclidean distance transform (EDT) for increasing information density by populating each voxel with a distance value. To reduce the risk of overﬁtting resulting from high image dimensionality, we use a synergistic combination of downsampling, unsupervised pretraining, and regularization during training. A detailed analysis of the impact of EDT and unsupervised pretraining is presented. Using the MRIs from 140 subjects in a 7-fold cross-validation procedure, we demonstrate that our prediction model can achieve an accuracy rate of 72.9 % (SD = 10.3 %) over 2 years using baseline MR images only, which is signiﬁcantly higher than the 65.0 % (SD = 14.6 %) that is attained with the traditional MRI biomarker of lesion load.","2016","2022-11-30 21:59:49","2022-11-30 21:59:50","2022-11-30 21:59:49","86-94","","","10008","","","","","","","","Springer International Publishing","Cham","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-319-46976-8_10","","/Users/mgdwyer/Zotero/storage/JZDGT3CN/Yoo et al. - 2016 - Deep Learning of Brain Lesion Patterns for Predict.pdf","","","","Carneiro, Gustavo; Mateus, Diana; Peter, Loïc; Bradley, Andrew; Tavares, João Manuel R. S.; Belagiannis, Vasileios; Papa, João Paulo; Nascimento, Jacinto C.; Loog, Marco; Lu, Zhi; Cardoso, Jaime S.; Cornebise, Julien","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UBZIEZ2K","journalArticle","2021","Vrenken, Hugo; Jenkinson, Mark; Pham, Dzung L.; Guttmann, Charles R.G.; Pareto, Deborah; Paardekooper, Michel; de Sitter, Alexandra; Rocca, Maria A.; Wottschel, Viktor; Cardoso, M. Jorge; Barkhof, Frederik; on behalf of the MAGNIMS Study Group","Opportunities for Understanding MS Mechanisms and Progression With MRI Using Large-Scale Data Sharing and Artificial Intelligence","Neurology","","0028-3878, 1526-632X","10.1212/WNL.0000000000012884","https://www.neurology.org/lookup/doi/10.1212/WNL.0000000000012884","Patients with multiple sclerosis (MS) have heterogeneous clinical presentations, symptoms, and progression over time, making MS diﬃcult to assess and comprehend in vivo. The combination of large-scale data sharing and artiﬁcial intelligence creates new opportunities for monitoring and understanding MS using MRI. First, development of validated MS-speciﬁc image analysis methods can be boosted by veriﬁed reference, test, and benchmark imaging data. Using detailed expert annotations, artiﬁcial intelligence algorithms can be trained on such MSspeciﬁc data. Second, understanding disease processes could be greatly advanced through shared data of large MS cohorts with clinical, demographic, and treatment information. Relevant patterns in such data that may be imperceptible to a human observer could be detected through artiﬁcial intelligence techniques. This applies from image analysis (lesions, atrophy, or functional network changes) to large multidomain datasets (imaging, cognition, clinical disability, genetics). After reviewing data sharing and artiﬁcial intelligence, we highlight 3 areas that oﬀer strong opportunities for making advances in the next few years: crowdsourcing, personal data protection, and organized analysis challenges. Diﬃculties as well as speciﬁc recommendations to overcome them are discussed, in order to best leverage data sharing and artiﬁcial intelligence to improve image analysis, imaging, and the understanding of MS.","2021-11-23","2022-11-30 21:59:51","2023-01-31 15:09:33","2022-11-30 21:59:51","989-999","","21","97","","Neurology","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/44JCBHSP/Vrenken et al. - 2021 - Opportunities for Understanding MS Mechanisms and .pdf","","Read; Key","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHBUI7UP","journalArticle","2022","Afzal, H. M. Rehan; Luo, Suhuai; Ramadan, Saadallah; Lechner-Scott, Jeannette","The emerging role of artificial intelligence in multiple sclerosis imaging","Multiple Sclerosis Journal","","1352-4585, 1477-0970","10.1177/1352458520966298","http://journals.sagepub.com/doi/10.1177/1352458520966298","Background: Computer-aided diagnosis can facilitate the early detection and diagnosis of multiple sclerosis (MS) thus enabling earlier interventions and a reduction in long-term MS-related disability. Recent advancements in the field of artificial intelligence (AI) have led to the improvements in the classification, quantification and identification of diagnostic patterns in medical images for a range of diseases, in particular, for MS. Importantly, data generated using AI techniques are analyzed automatically, which compares favourably with labour-intensive and time-consuming manual methods. Objective: The aim of this review is to assist MS researchers to understand current and future developments in the AI-based diagnosis and prognosis of MS. Methods: We will investigate a variety of AI approaches and various classifiers and compare the current state-of-the-art techniques in relation to lesion segmentation/detection and prognosis of disease. After briefly describing the magnetic resonance imaging (MRI) techniques commonly used, we will describe AI techniques used for the detection of lesions and MS prognosis. Results: We then evaluate the clinical maturity of these AI techniques in relation to MS. Conclusion: Finally, future research challenges are identified in a bid to encourage further improvements of the methods.","2022-05","2022-11-30 21:59:52","2023-01-28 02:33:53","2022-11-30 21:59:52","849-858","","6","28","","Mult Scler","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/6SADBSVJ/Afzal et al. - 2022 - The emerging role of artificial intelligence in mu.pdf","","Read","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YHCIIRC","journalArticle","2019","Law, Marco TK; Traboulsee, Anthony L; Li, David KB; Carruthers, Robert L; Freedman, Mark S; Kolind, Shannon H; Tam, Roger","Machine learning in secondary progressive multiple sclerosis: an improved predictive model for short-term disability progression","Multiple Sclerosis Journal - Experimental, Translational and Clinical","","2055-2173, 2055-2173","10.1177/2055217319885983","http://journals.sagepub.com/doi/10.1177/2055217319885983","Background: Enhanced prediction of progression in secondary progressive multiple sclerosis (SPMS) could improve clinical trial design. Machine learning (ML) algorithms are methods for training predictive models with minimal human intervention. Objective: To evaluate individual and ensemble model performance built using decision tree (DT)based algorithms compared to logistic regression (LR) and support vector machines (SVMs) for predicting SPMS disability progression. Methods: SPMS participants (n ¼ 485) enrolled in a 2-year placebo-controlled (negative) trial assessing the efficacy of MBP8298 were classified as progressors if a 6-month sustained increase in Expanded Disability Status Scale (EDSS) (!1.0 or !0.5 for a baseline of 5.5 or !6.0 respectively) was observed. Variables included EDSS, Multiple Sclerosis Functional Composite component scores, T2 lesion volume, brain parenchymal fraction, disease duration, age, and sex. Area under the receiver operating characteristic curve (AUC) was the primary outcome for model evaluation. Results: Three DT-based models had greater AUCs (61.8%, 60.7%, and 60.2%) than independent and ensemble SVM (52.4% and 51.0%) and LR (49.5% and 51.1%). Conclusion: SPMS disability progression was best predicted by non-parametric ML. If confirmed, ML could select those with highest progression risk for inclusion in SPMS trial cohorts and reduce the number of low-risk individuals exposed to experimental therapies.","2019-10","2022-11-30 21:59:54","2022-11-30 21:59:54","2022-11-30 21:59:54","205521731988598","","4","5","","Multiple Sclerosis Journal - Experimental, Translational and Clinical","Machine learning in secondary progressive multiple sclerosis","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/mgdwyer/Zotero/storage/JMTBP8CI/Law et al. - 2019 - Machine learning in secondary progressive multiple.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
